species	enzyme	status	nt_len	aa_len	blocks	introns	strand	seqid	prot_path	cds_path
Psilocybe_apelliculosa_UBC-F17545.scaffolds	PsiM	NO_HIT			0	0				
Psilocybe_apelliculosa_UBC-F17545.scaffolds	PsiH	NO_HIT			0	0				
Psilocybe_arcana_ISOTYPE_SFSU-F-000737.scaffolds	PsiD	OK	678.0	225.0	0	0	-	NODE_8509_length_1747_cov_32.320370	/Users/felix/Library/CloudStorage/OneDrive-SharedLibraries-MacquarieUniversity/Australian Genome Foundry - AWS cloud infrastructure/08_Ancestral_Seq_Sofia/20251015_Meeting_PsiloProteins_Felix/05_Felix_code/cds_extraction_outputs/Psilocybe_arcana_ISOTYPE_SFSU-F-000737.scaffolds/Psilocybe_arcana_ISOTYPE_SFSU-F-000737.scaffolds_PsiD.prot.fa	/Users/felix/Library/CloudStorage/OneDrive-SharedLibraries-MacquarieUniversity/Australian Genome Foundry - AWS cloud infrastructure/08_Ancestral_Seq_Sofia/20251015_Meeting_PsiloProteins_Felix/05_Felix_code/cds_extraction_outputs/Psilocybe_arcana_ISOTYPE_SFSU-F-000737.scaffolds/Psilocybe_arcana_ISOTYPE_SFSU-F-000737.scaffolds_PsiD.cds.fa
Psilocybe_arcana_ISOTYPE_SFSU-F-000737.scaffolds	PsiK	OK	702.0	233.0	0	0	+	NODE_17991_length_756_cov_23.551669	/Users/felix/Library/CloudStorage/OneDrive-SharedLibraries-MacquarieUniversity/Australian Genome Foundry - AWS cloud infrastructure/08_Ancestral_Seq_Sofia/20251015_Meeting_PsiloProteins_Felix/05_Felix_code/cds_extraction_outputs/Psilocybe_arcana_ISOTYPE_SFSU-F-000737.scaffolds/Psilocybe_arcana_ISOTYPE_SFSU-F-000737.scaffolds_PsiK.prot.fa	/Users/felix/Library/CloudStorage/OneDrive-SharedLibraries-MacquarieUniversity/Australian Genome Foundry - AWS cloud infrastructure/08_Ancestral_Seq_Sofia/20251015_Meeting_PsiloProteins_Felix/05_Felix_code/cds_extraction_outputs/Psilocybe_arcana_ISOTYPE_SFSU-F-000737.scaffolds/Psilocybe_arcana_ISOTYPE_SFSU-F-000737.scaffolds_PsiK.cds.fa
Psilocybe_arcana_ISOTYPE_SFSU-F-000737.scaffolds	PsiM	NO_HIT			0	0				
Psilocybe_arcana_ISOTYPE_SFSU-F-000737.scaffolds	PsiH	OK	1515.0	504.0	0	0	+	NODE_2568_length_6941_cov_20.280158	/Users/felix/Library/CloudStorage/OneDrive-SharedLibraries-MacquarieUniversity/Australian Genome Foundry - AWS cloud infrastructure/08_Ancestral_Seq_Sofia/20251015_Meeting_PsiloProteins_Felix/05_Felix_code/cds_extraction_outputs/Psilocybe_arcana_ISOTYPE_SFSU-F-000737.scaffolds/Psilocybe_arcana_ISOTYPE_SFSU-F-000737.scaffolds_PsiH.prot.fa	/Users/felix/Library/CloudStorage/OneDrive-SharedLibraries-MacquarieUniversity/Australian Genome Foundry - AWS cloud infrastructure/08_Ancestral_Seq_Sofia/20251015_Meeting_PsiloProteins_Felix/05_Felix_code/cds_extraction_outputs/Psilocybe_arcana_ISOTYPE_SFSU-F-000737.scaffolds/Psilocybe_arcana_ISOTYPE_SFSU-F-000737.scaffolds_PsiH.cds.fa
Psilocybe_argentina_SFSU-F-029894.scaffolds	PsiD	NO_HIT			0	0				
Psilocybe_argentina_SFSU-F-029894.scaffolds	PsiK	NO_HIT			0	0				
Psilocybe_argentina_SFSU-F-029894.scaffolds	PsiM	NO_HIT			0	0				
Psilocybe_argentina_SFSU-F-029894.scaffolds	PsiH	NO_HIT			0	0				
Psilocybe_argentipes_NY-1595850.scaffolds	PsiD	OK	594.0	197.0	0	0	-	NODE_25067_length_594_cov_39.892934	/Users/felix/Library/CloudStorage/OneDrive-SharedLibraries-MacquarieUniversity/Australian Genome Foundry - AWS cloud infrastructure/08_Ancestral_Seq_Sofia/20251015_Meeting_PsiloProteins_Felix/05_Felix_code/cds_extraction_outputs/Psilocybe_argentipes_NY-1595850.scaffolds/Psilocybe_argentipes_NY-1595850.scaffolds_PsiD.prot.fa	/Users/felix/Library/CloudStorage/OneDrive-SharedLibraries-MacquarieUniversity/Australian Genome Foundry - AWS cloud infrastructure/08_Ancestral_Seq_Sofia/20251015_Meeting_PsiloProteins_Felix/05_Felix_code/cds_extraction_outputs/Psilocybe_argentipes_NY-1595850.scaffolds/Psilocybe_argentipes_NY-1595850.scaffolds_PsiD.cds.fa
Psilocybe_argentipes_NY-1595850.scaffolds	PsiK	OK	1014.0	337.0	0	0	-	NODE_1941_length_5466_cov_39.277205	/Users/felix/Library/CloudStorage/OneDrive-SharedLibraries-MacquarieUniversity/Australian Genome Foundry - AWS cloud infrastructure/08_Ancestral_Seq_Sofia/20251015_Meeting_PsiloProteins_Felix/05_Felix_code/cds_extraction_outputs/Psilocybe_argentipes_NY-1595850.scaffolds/Psilocybe_argentipes_NY-1595850.scaffolds_PsiK.prot.fa	/Users/felix/Library/CloudStorage/OneDrive-SharedLibraries-MacquarieUniversity/Australian Genome Foundry - AWS cloud infrastructure/08_Ancestral_Seq_Sofia/20251015_Meeting_PsiloProteins_Felix/05_Felix_code/cds_extraction_outputs/Psilocybe_argentipes_NY-1595850.scaffolds/Psilocybe_argentipes_NY-1595850.scaffolds_PsiK.cds.fa
Psilocybe_argentipes_NY-1595850.scaffolds	PsiM	OK	717.0	238.0	0	0	+	NODE_10926_length_1228_cov_40.339691	/Users/felix/Library/CloudStorage/OneDrive-SharedLibraries-MacquarieUniversity/Australian Genome Foundry - AWS cloud infrastructure/08_Ancestral_Seq_Sofia/20251015_Meeting_PsiloProteins_Felix/05_Felix_code/cds_extraction_outputs/Psilocybe_argentipes_NY-1595850.scaffolds/Psilocybe_argentipes_NY-1595850.scaffolds_PsiM.prot.fa	/Users/felix/Library/CloudStorage/OneDrive-SharedLibraries-MacquarieUniversity/Australian Genome Foundry - AWS cloud infrastructure/08_Ancestral_Seq_Sofia/20251015_Meeting_PsiloProteins_Felix/05_Felix_code/cds_extraction_outputs/Psilocybe_argentipes_NY-1595850.scaffolds/Psilocybe_argentipes_NY-1595850.scaffolds_PsiM.cds.fa
Psilocybe_argentipes_NY-1595850.scaffolds	PsiH	OK	1500.0	499.0	0	0	-	NODE_1941_length_5466_cov_39.277205	/Users/felix/Library/CloudStorage/OneDrive-SharedLibraries-MacquarieUniversity/Australian Genome Foundry - AWS cloud infrastructure/08_Ancestral_Seq_Sofia/20251015_Meeting_PsiloProteins_Felix/05_Felix_code/cds_extraction_outputs/Psilocybe_argentipes_NY-1595850.scaffolds/Psilocybe_argentipes_NY-1595850.scaffolds_PsiH.prot.fa	/Users/felix/Library/CloudStorage/OneDrive-SharedLibraries-MacquarieUniversity/Australian Genome Foundry - AWS cloud infrastructure/08_Ancestral_Seq_Sofia/20251015_Meeting_PsiloProteins_Felix/05_Felix_code/cds_extraction_outputs/Psilocybe_argentipes_NY-1595850.scaffolds/Psilocybe_argentipes_NY-1595850.scaffolds_PsiH.cds.fa
Psilocybe_aztecorum_SFSU-F-029933.scaffolds	PsiD	OK	1320.0	439.0	0	0	-	NODE_2057_length_6967_cov_29.017982	/Users/felix/Library/CloudStorage/OneDrive-SharedLibraries-MacquarieUniversity/Australian Genome Foundry - AWS cloud infrastructure/08_Ancestral_Seq_Sofia/20251015_Meeting_PsiloProteins_Felix/05_Felix_code/cds_extraction_outputs/Psilocybe_aztecorum_SFSU-F-029933.scaffolds/Psilocybe_aztecorum_SFSU-F-029933.scaffolds_PsiD.prot.fa	/Users/felix/Library/CloudStorage/OneDrive-SharedLibraries-MacquarieUniversity/Australian Genome Foundry - AWS cloud infrastructure/08_Ancestral_Seq_Sofia/20251015_Meeting_PsiloProteins_Felix/05_Felix_code/cds_extraction_outputs/Psilocybe_aztecorum_SFSU-F-029933.scaffolds/Psilocybe_aztecorum_SFSU-F-029933.scaffolds_PsiD.cds.fa
Psilocybe_aztecorum_SFSU-F-029933.scaffolds	PsiK	OK	1020.0	339.0	0	0	+	NODE_2971_length_5185_cov_30.848557	/Users/felix/Library/CloudStorage/OneDrive-SharedLibraries-MacquarieUniversity/Australian Genome Foundry - AWS cloud infrastructure/08_Ancestral_Seq_Sofia/20251015_Meeting_PsiloProteins_Felix/05_Felix_code/cds_extraction_outputs/Psilocybe_aztecorum_SFSU-F-029933.scaffolds/Psilocybe_aztecorum_SFSU-F-029933.scaffolds_PsiK.prot.fa	/Users/felix/Library/CloudStorage/OneDrive-SharedLibraries-MacquarieUniversity/Australian Genome Foundry - AWS cloud infrastructure/08_Ancestral_Seq_Sofia/20251015_Meeting_PsiloProteins_Felix/05_Felix_code/cds_extraction_outputs/Psilocybe_aztecorum_SFSU-F-029933.scaffolds/Psilocybe_aztecorum_SFSU-F-029933.scaffolds_PsiK.cds.fa
Psilocybe_aztecorum_SFSU-F-029933.scaffolds	PsiM	OK	408.0	135.0	0	0	+	NODE_5320_length_3161_cov_33.981872	/Users/felix/Library/CloudStorage/OneDrive-SharedLibraries-MacquarieUniversity/Australian Genome Foundry - AWS cloud infrastructure/08_Ancestral_Seq_Sofia/20251015_Meeting_PsiloProteins_Felix/05_Felix_code/cds_extraction_outputs/Psilocybe_aztecorum_SFSU-F-029933.scaffolds/Psilocybe_aztecorum_SFSU-F-029933.scaffolds_PsiM.prot.fa	/Users/felix/Library/CloudStorage/OneDrive-SharedLibraries-MacquarieUniversity/Australian Genome Foundry - AWS cloud infrastructure/08_Ancestral_Seq_Sofia/20251015_Meeting_PsiloProteins_Felix/05_Felix_code/cds_extraction_outputs/Psilocybe_aztecorum_SFSU-F-029933.scaffolds/Psilocybe_aztecorum_SFSU-F-029933.scaffolds_PsiM.cds.fa
Psilocybe_aztecorum_SFSU-F-029933.scaffolds	PsiH	OK	1530.0	509.0	0	0	+	NODE_34_length_53091_cov_35.587191	/Users/felix/Library/CloudStorage/OneDrive-SharedLibraries-MacquarieUniversity/Australian Genome Foundry - AWS cloud infrastructure/08_Ancestral_Seq_Sofia/20251015_Meeting_PsiloProteins_Felix/05_Felix_code/cds_extraction_outputs/Psilocybe_aztecorum_SFSU-F-029933.scaffolds/Psilocybe_aztecorum_SFSU-F-029933.scaffolds_PsiH.prot.fa	/Users/felix/Library/CloudStorage/OneDrive-SharedLibraries-MacquarieUniversity/Australian Genome Foundry - AWS cloud infrastructure/08_Ancestral_Seq_Sofia/20251015_Meeting_PsiloProteins_Felix/05_Felix_code/cds_extraction_outputs/Psilocybe_aztecorum_SFSU-F-029933.scaffolds/Psilocybe_aztecorum_SFSU-F-029933.scaffolds_PsiH.cds.fa
Psilocybe_aztecorum_var_bonetii_NY-1595856.scaffolds	PsiD	OK	1320.0	439.0	0	0	-	NODE_1345_length_10699_cov_25.304011	/Users/felix/Library/CloudStorage/OneDrive-SharedLibraries-MacquarieUniversity/Australian Genome Foundry - AWS cloud infrastructure/08_Ancestral_Seq_Sofia/20251015_Meeting_PsiloProteins_Felix/05_Felix_code/cds_extraction_outputs/Psilocybe_aztecorum_var_bonetii_NY-1595856.scaffolds/Psilocybe_aztecorum_var_bonetii_NY-1595856.scaffolds_PsiD.prot.fa	/Users/felix/Library/CloudStorage/OneDrive-SharedLibraries-MacquarieUniversity/Australian Genome Foundry - AWS cloud infrastructure/08_Ancestral_Seq_Sofia/20251015_Meeting_PsiloProteins_Felix/05_Felix_code/cds_extraction_outputs/Psilocybe_aztecorum_var_bonetii_NY-1595856.scaffolds/Psilocybe_aztecorum_var_bonetii_NY-1595856.scaffolds_PsiD.cds.fa
Psilocybe_aztecorum_var_bonetii_NY-1595856.scaffolds	PsiK	CHECK_ORF	1082.0	205.0	0	0	-	NODE_687_length_15841_cov_25.551228	/Users/felix/Library/CloudStorage/OneDrive-SharedLibraries-MacquarieUniversity/Australian Genome Foundry - AWS cloud infrastructure/08_Ancestral_Seq_Sofia/20251015_Meeting_PsiloProteins_Felix/05_Felix_code/cds_extraction_outputs/Psilocybe_aztecorum_var_bonetii_NY-1595856.scaffolds/Psilocybe_aztecorum_var_bonetii_NY-1595856.scaffolds_PsiK.prot.fa	/Users/felix/Library/CloudStorage/OneDrive-SharedLibraries-MacquarieUniversity/Australian Genome Foundry - AWS cloud infrastructure/08_Ancestral_Seq_Sofia/20251015_Meeting_PsiloProteins_Felix/05_Felix_code/cds_extraction_outputs/Psilocybe_aztecorum_var_bonetii_NY-1595856.scaffolds/Psilocybe_aztecorum_var_bonetii_NY-1595856.scaffolds_PsiK.cds.fa
Psilocybe_aztecorum_var_bonetii_NY-1595856.scaffolds	PsiM	OK	933.0	310.0	0	0	+	NODE_687_length_15841_cov_25.551228	/Users/felix/Library/CloudStorage/OneDrive-SharedLibraries-MacquarieUniversity/Australian Genome Foundry - AWS cloud infrastructure/08_Ancestral_Seq_Sofia/20251015_Meeting_PsiloProteins_Felix/05_Felix_code/cds_extraction_outputs/Psilocybe_aztecorum_var_bonetii_NY-1595856.scaffolds/Psilocybe_aztecorum_var_bonetii_NY-1595856.scaffolds_PsiM.prot.fa	/Users/felix/Library/CloudStorage/OneDrive-SharedLibraries-MacquarieUniversity/Australian Genome Foundry - AWS cloud infrastructure/08_Ancestral_Seq_Sofia/20251015_Meeting_PsiloProteins_Felix/05_Felix_code/cds_extraction_outputs/Psilocybe_aztecorum_var_bonetii_NY-1595856.scaffolds/Psilocybe_aztecorum_var_bonetii_NY-1595856.scaffolds_PsiM.cds.fa
Psilocybe_aztecorum_var_bonetii_NY-1595856.scaffolds	PsiH	OK	1527.0	508.0	0	0	-	NODE_687_length_15841_cov_25.551228	/Users/felix/Library/CloudStorage/OneDrive-SharedLibraries-MacquarieUniversity/Australian Genome Foundry - AWS cloud infrastructure/08_Ancestral_Seq_Sofia/20251015_Meeting_PsiloProteins_Felix/05_Felix_code/cds_extraction_outputs/Psilocybe_aztecorum_var_bonetii_NY-1595856.scaffolds/Psilocybe_aztecorum_var_bonetii_NY-1595856.scaffolds_PsiH.prot.fa	/Users/felix/Library/CloudStorage/OneDrive-SharedLibraries-MacquarieUniversity/Australian Genome Foundry - AWS cloud infrastructure/08_Ancestral_Seq_Sofia/20251015_Meeting_PsiloProteins_Felix/05_Felix_code/cds_extraction_outputs/Psilocybe_aztecorum_var_bonetii_NY-1595856.scaffolds/Psilocybe_aztecorum_var_bonetii_NY-1595856.scaffolds_PsiH.cds.fa
Psilocybe_azurescens_Lg-bg-ut.scaffolds	PsiD	OK	1320.0	439.0	0	0	-	NODE_248_length_40097_cov_19.729322	/Users/felix/Library/CloudStorage/OneDrive-SharedLibraries-MacquarieUniversity/Australian Genome Foundry - AWS cloud infrastructure/08_Ancestral_Seq_Sofia/20251015_Meeting_PsiloProteins_Felix/05_Felix_code/cds_extraction_outputs/Psilocybe_azurescens_Lg-bg-ut.scaffolds/Psilocybe_azurescens_Lg-bg-ut.scaffolds_PsiD.prot.fa	/Users/felix/Library/CloudStorage/OneDrive-SharedLibraries-MacquarieUniversity/Australian Genome Foundry - AWS cloud infrastructure/08_Ancestral_Seq_Sofia/20251015_Meeting_PsiloProteins_Felix/05_Felix_code/cds_extraction_outputs/Psilocybe_azurescens_Lg-bg-ut.scaffolds/Psilocybe_azurescens_Lg-bg-ut.scaffolds_PsiD.cds.fa
Psilocybe_azurescens_Lg-bg-ut.scaffolds	PsiK	OK	1089.0	362.0	0	0	+	NODE_133_length_49061_cov_20.530837	/Users/felix/Library/CloudStorage/OneDrive-SharedLibraries-MacquarieUniversity/Australian Genome Foundry - AWS cloud infrastructure/08_Ancestral_Seq_Sofia/20251015_Meeting_PsiloProteins_Felix/05_Felix_code/cds_extraction_outputs/Psilocybe_azurescens_Lg-bg-ut.scaffolds/Psilocybe_azurescens_Lg-bg-ut.scaffolds_PsiK.prot.fa	/Users/felix/Library/CloudStorage/OneDrive-SharedLibraries-MacquarieUniversity/Australian Genome Foundry - AWS cloud infrastructure/08_Ancestral_Seq_Sofia/20251015_Meeting_PsiloProteins_Felix/05_Felix_code/cds_extraction_outputs/Psilocybe_azurescens_Lg-bg-ut.scaffolds/Psilocybe_azurescens_Lg-bg-ut.scaffolds_PsiK.cds.fa
Psilocybe_azurescens_Lg-bg-ut.scaffolds	PsiM	OK	933.0	310.0	0	0	-	NODE_248_length_40097_cov_19.729322	/Users/felix/Library/CloudStorage/OneDrive-SharedLibraries-MacquarieUniversity/Australian Genome Foundry - AWS cloud infrastructure/08_Ancestral_Seq_Sofia/20251015_Meeting_PsiloProteins_Felix/05_Felix_code/cds_extraction_outputs/Psilocybe_azurescens_Lg-bg-ut.scaffolds/Psilocybe_azurescens_Lg-bg-ut.scaffolds_PsiM.prot.fa	/Users/felix/Library/CloudStorage/OneDrive-SharedLibraries-MacquarieUniversity/Australian Genome Foundry - AWS cloud infrastructure/08_Ancestral_Seq_Sofia/20251015_Meeting_PsiloProteins_Felix/05_Felix_code/cds_extraction_outputs/Psilocybe_azurescens_Lg-bg-ut.scaffolds/Psilocybe_azurescens_Lg-bg-ut.scaffolds_PsiM.cds.fa
Psilocybe_azurescens_Lg-bg-ut.scaffolds	PsiH	OK	1527.0	508.0	0	0	+	NODE_248_length_40097_cov_19.729322	/Users/felix/Library/CloudStorage/OneDrive-SharedLibraries-MacquarieUniversity/Australian Genome Foundry - AWS cloud infrastructure/08_Ancestral_Seq_Sofia/20251015_Meeting_PsiloProteins_Felix/05_Felix_code/cds_extraction_outputs/Psilocybe_azurescens_Lg-bg-ut.scaffolds/Psilocybe_azurescens_Lg-bg-ut.scaffolds_PsiH.prot.fa	/Users/felix/Library/CloudStorage/OneDrive-SharedLibraries-MacquarieUniversity/Australian Genome Foundry - AWS cloud infrastructure/08_Ancestral_Seq_Sofia/20251015_Meeting_PsiloProteins_Felix/05_Felix_code/cds_extraction_outputs/Psilocybe_azurescens_Lg-bg-ut.scaffolds/Psilocybe_azurescens_Lg-bg-ut.scaffolds_PsiH.cds.fa
Psilocybe_azurescens_WTU-F19095-HOLOTYPE.scaffolds	PsiD	OK	1320.0	439.0	0	0	-	NODE_2242_length_8460_cov_2.280811	/Users/felix/Library/CloudStorage/OneDrive-SharedLibraries-MacquarieUniversity/Australian Genome Foundry - AWS cloud infrastructure/08_Ancestral_Seq_Sofia/20251015_Meeting_PsiloProteins_Felix/05_Felix_code/cds_extraction_outputs/Psilocybe_azurescens_WTU-F19095-HOLOTYPE.scaffolds/Psilocybe_azurescens_WTU-F19095-HOLOTYPE.scaffolds_PsiD.prot.fa	/Users/felix/Library/CloudStorage/OneDrive-SharedLibraries-MacquarieUniversity/Australian Genome Foundry - AWS cloud infrastructure/08_Ancestral_Seq_Sofia/20251015_Meeting_PsiloProteins_Felix/05_Felix_code/cds_extraction_outputs/Psilocybe_azurescens_WTU-F19095-HOLOTYPE.scaffolds/Psilocybe_azurescens_WTU-F19095-HOLOTYPE.scaffolds_PsiD.cds.fa
Psilocybe_azurescens_WTU-F19095-HOLOTYPE.scaffolds	PsiK	OK	1089.0	362.0	0	0	+	NODE_5464_length_3545_cov_2.238151	/Users/felix/Library/CloudStorage/OneDrive-SharedLibraries-MacquarieUniversity/Australian Genome Foundry - AWS cloud infrastructure/08_Ancestral_Seq_Sofia/20251015_Meeting_PsiloProteins_Felix/05_Felix_code/cds_extraction_outputs/Psilocybe_azurescens_WTU-F19095-HOLOTYPE.scaffolds/Psilocybe_azurescens_WTU-F19095-HOLOTYPE.scaffolds_PsiK.prot.fa	/Users/felix/Library/CloudStorage/OneDrive-SharedLibraries-MacquarieUniversity/Australian Genome Foundry - AWS cloud infrastructure/08_Ancestral_Seq_Sofia/20251015_Meeting_PsiloProteins_Felix/05_Felix_code/cds_extraction_outputs/Psilocybe_azurescens_WTU-F19095-HOLOTYPE.scaffolds/Psilocybe_azurescens_WTU-F19095-HOLOTYPE.scaffolds_PsiK.cds.fa
